symbol,company,industry,market_cap
A,"Agilent Technologies, Inc.",Diagnostics & Research,32.42B
AA,Alcoa Corporation,Aluminum,7.59B
AACB,Artius II Acquisition Inc.,Shell Companies,297.82M
AACG,ATA Creativity Global,Education & Training Services,58.28M
AACI,Armada Acquisition Corp. II,Shell Companies,306.24M
AACT,Ares Acquisition Corporation II,Shell Companies,705.82M
AAL,American Airlines Group Inc.,Airlines,7.64B
AAM,AA Mission Acquisition Corp.,Shell Companies,461.73M
AAME,Atlantic American Corporation,Insurance - Life,45.89M
AAMI,Acadian Asset Management Inc.,Asset Management,1.62B
AAOI,"Applied Optoelectronics, Inc.",Communication Equipment,1.30B
AAON,"AAON, Inc.",Building Products & Equipment,5.86B
AAP,"Advance Auto Parts, Inc.",Auto Parts,3.55B
AAPG,Ascentage Pharma Group International,Biotechnology,3.75B
AAPL,Apple Inc.,Consumer Electronics,"3,371.44B"
AARD,"Aardvark Therapeutics, Inc.",Biotechnology,241.91M
AAT,"American Assets Trust, Inc.",REIT - Diversified,1.45B
AAUC,Allied Gold Corporation,Gold,1.34B
AB,AllianceBernstein Holding L.P.,Asset Management,4.39B
ABAT,American Battery Technology Company,Waste Management,208.18M
ABBV,AbbVie Inc.,Drug Manufacturers - General,350.91B
ABCB,Ameris Bancorp,Banks - Regional,4.59B
ABCL,AbCellera Biologics Inc.,Biotechnology,1.34B
ABEO,Abeona Therapeutics Inc.,Biotechnology,321.26M
ABEV,Ambev S.A.,Beverages - Brewers,35.21B
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,4.38B
ABL,"Abacus Global Management, Inc.",Insurance - Life,589.85M
ABLV,Able View Global Inc.,Advertising Agencies,47.41M
ABM,ABM Industries Incorporated,Specialty Business Services,2.96B
ABNB,"Airbnb, Inc.",Travel Services,72.43B
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,86.01M
ABP,"Abpro Holdings, Inc.",Biotechnology,15.05M
ABR,"Arbor Realty Trust, Inc.",REIT - Mortgage,2.46B
ABSI,Absci Corporation,Biotechnology,411.05M
ABT,Abbott Laboratories,Medical Devices,228.63B
